Ticker,Nome,Ponderação,Ações,Preço,MainTicker,YFTicker,SetorEconomico,Industria,NomeCompletoParaAuditoria,Pais,Moeda
VTY LN Equity,Vistry Group PLC,0.0065,331.444,1306,VTY,VTYX,Healthcare,Biotechnology,"Ventyx Biosciences, Inc.",United States,USD
AVAV UW Equity,AeroVironment Inc,0.006166,27.799,196.75,AVAV,AVAV,Industrials,Aerospace & Defense,"AeroVironment, Inc.",United States,USD
REC IM Equity,Recordati Industria Chimica e Farmaceutica SpA,0.006144,97.637,50.15,REC,RXRX,Healthcare,Biotechnology,"Recursion Pharmaceuticals, Inc.",United States,USD
SIGI UW Equity,Selective Insurance Group Inc,0.006127,59.606,91.19,SIGI,SIGI,Financial Services,Insurance—Property & Casualty,"Selective Insurance Group, Inc.",United States,USD
BPMC UW Equity,Blueprint Medicines Corp,0.006041,61.598,87,BPMC,BPMC,Healthcare,Biotechnology,Blueprint Medicines Corporation,United States,USD
IONS UW Equity,Ionis Pharmaceuticals Inc,0.005909,127.867,40.99,IONS,IONS,Healthcare,Biotechnology,"Ionis Pharmaceuticals, Inc.",United States,USD
NKT DC Equity,NKT A/S,0.005807,53.505,645,NKT,NKTR,Healthcare,Biotechnology,Nektar Therapeutics,United States,USD
RDN UN Equity,Radian Group Inc,0.005788,148.614,34.55,RDN,RDN,Financial Services,Insurance—Specialty,Radian Group Inc.,United States,USD
RARE UW Equity,Ultragenyx Pharmaceutical Inc,0.005661,88.469,56.76,RARE,RARE,Healthcare,Biotechnology,Ultragenyx Pharmaceutical Inc.,United States,USD
HXL UN Equity,Hexcel Corp,0.005611,81.158,61.33,HXL,HXL,Industrials,Aerospace & Defense,Hexcel Corporation,United States,USD
JSP IS Equity,Jindal Steel & Power Ltd,0.005542,402.464,1020.8,JSP,JSPR,Healthcare,Biotechnology,"Jasper Therapeutics, Inc.",United States,USD
GALD SE Equity,Galderma Group AG,0.00542,51.294,79.71,GALD,A1JG34.SA,Financial Services,Insurance Brokers,ARTHUR J GALDRN,United States,BRL
THG UN Equity,Hanover Insurance Group Inc/The,0.00535,32.209,147.35,THG,THG,Financial Services,Insurance—Property & Casualty,Hanover Insurance Group Inc,United States,USD
BOL FP Equity,Bollore SE,0.005216,687.627,6.045,BOL,BOLT,Healthcare,Biotechnology,"Bolt Biotherapeutics, Inc.",United States,USD
RNA UQ Equity,Avidity Biosciences Inc,0.005216,100.688,45.95,RNA,RNA,Healthcare,Biotechnology,"Avidity Biosciences, Inc.",United States,USD
KRYS UW Equity,Krystal Biotech Inc,0.00508,25.099,179.53,KRYS,KRYS,Healthcare,Biotechnology,"Krystal Biotech, Inc.",United States,USD
ALD AT Equity,Ampol Ltd,0.00494,220.989,29.06,ALD,ALDX,Healthcare,Biotechnology,"Aldeyra Therapeutics, Inc.",United States,USD
ADMA UQ Equity,ADMA Biologics Inc,0.004906,223.285,19.49,ADMA,ADMA,Healthcare,Biotechnology,ADMA Biologics Inc,United States,USD
GALE SE Equity,Galenica AG,0.004895,49.863,74.05,GALE,GALT,Healthcare,Biotechnology,Galectin Therapeutics Inc.,United States,USD
RMBS UW Equity,Rambus Inc,0.004597,106.365,38.34,RMBS,RMBS,Technology,Semiconductors,"Rambus, Inc.",United States,USD
NEXI IM Equity,Nexi SpA,0.004544,599.981,6.036,NEXI,NEXI,Healthcare,Biotechnology,"NexImmune, Inc.",United States,USD
MDGL UW Equity,Madrigal Pharmaceuticals Inc,0.004421,18.138,216.21,MDGL,MDGL,Healthcare,Biotechnology,"Madrigal Pharmaceuticals, Inc.",United States,USD
CRNX UW Equity,Crinetics Pharmaceuticals Inc,0.004305,75.701,50.45,CRNX,CRNX,Healthcare,Biotechnology,"Crinetics Pharmaceuticals, Inc.",United States,USD
SPR UN Equity,Spirit AeroSystems Holdings Inc,0.004276,115.513,32.84,SPR,SPR,Industrials,Aerospace & Defense,"Spirit Aerosystems Holdings, In",United States,USD
NUVL UW Equity,Nuvalent Inc,0.004194,37.035,100.45,NUVL,NUVL,Healthcare,Biotechnology,"Nuvalent, Inc.",United States,USD
KMPR UN Equity,Kemper Corp,0.004184,61.293,60.55,KMPR,KMPR,Financial Services,Insurance—Property & Casualty,Kemper Corporation,United States,USD
CORT UR Equity,Corcept Therapeutics Inc,0.004103,85.551,42.54,CORT,CORT,Healthcare,Biotechnology,Corcept Therapeutics Incorporat,United States,USD
SLAB UW Equity,Silicon Laboratories Inc,0.004051,31.494,114.09,SLAB,SLAB,Technology,Semiconductors,"Silicon Laboratories, Inc.",United States,USD
AXSM UQ Equity,Axsome Therapeutics Inc,0.00397,39.163,89.92,AXSM,AXSM,Healthcare,Biotechnology,"Axsome Therapeutics, Inc.",United States,USD
SMTC UW Equity,Semtech Corp,0.003964,74.074,47.47,SMTC,SMTC,Technology,Semiconductors,Semtech Corporation,United States,USD
ACLX UW Equity,Arcellx Inc,0.003953,41.45,84.6,ACLX,ACLX,Healthcare,Biotechnology,"Arcellx, Inc.",United States,USD
